item,value
HbA1c,9.4%
Fasting blood glucose,230 mg/dL
Blood pressure,168/102 mmHg
Resting heart rate,118 bpm
Oxygen saturation,89%
Respiratory rate,25 breaths/min
Body temperature,101.6°F
Hemoglobin,8.6 g/dL
Platelet count,48000 /µL
White blood cell count,2.4 x10^9/L
Creatinine,2.7 mg/dL
eGFR,26 mL/min/1.73m2
Blood urea nitrogen (BUN),54 mg/dL
Serum potassium,5.9 mmol/L
Serum sodium,151 mmol/L
INR,4.0
Troponin I,0.8 ng/mL
BNP,1700 pg/mL
Left ventricular ejection fraction,32%
QTc interval,505 ms
PaO2,61 mmHg
PaCO2,56 mmHg
Blood pH,7.21
Serum lactate,5.2 mmol/L
AST,480 U/L
ALT,560 U/L
Total bilirubin,6.5 mg/dL
Albumin,2.6 g/dL
TSH,18 mIU/L
Free T4,0.5 ng/dL
Systolic blood pressure,320 mmHg
Heart rate minimum,3 bpm
Oxygen saturation nadir,18%
Maximum body temperature,113°F
Hemoglobin nadir,1.0 g/dL
Platelet count nadir,600 /µL
White blood cell count nadir,0
Serum potassium peak,10.9 mmol/L
Serum sodium peak,195 mmol/L
Creatinine peak,30 mg/dL
PaO2 minimum,14 mmHg
Serum lactate peak,24 mmol/L
INR peak,18
Troponin I peak,300 ng/mL
Core body temperature minimum,83°F
Intracranial pressure,70 mmHg
Cardiac ejection fraction,0%
Urine output,none for 6 days
C-reactive protein,120 mg/L
Serum calcium,12.8 mg/dL
