statement_1,statement_2
"The baby has no chest discomfort.","The baby has chest discomfort when breathing."
"The baby's breathing is normal.","The baby has rapid breathing and difficulty breathing during feeding."
"The baby has not had a fever.","The baby has had a fever most nights."
"The baby feeds normally.","The baby stops feeding after a few sips."
"The baby has not vomited.","The baby vomits frequently."
"The baby sleeps through the night.","The baby wakes up crying multiple times each night."
"The baby is not in pain.","The baby is in pain almost every day."
"The baby has not been exposed to cigarette smoke.","The baby is exposed to cigarette smoke daily."
"The baby has no blood sugar problems.","The baby has been diagnosed with abnormal blood sugar."
"The baby was not born prematurely.","The baby was born prematurely."
"The baby has normal blood pressure.","The baby has high blood pressure."
"The baby has never had surgery.","The baby has had surgery."
"The baby does not take any medications.","The baby takes prescription medication daily."
"The baby has no known allergies.","The baby has a medication allergy."
"The baby has never lost consciousness.","The baby became unresponsive yesterday."
"The baby has no history of cancer.","The baby is receiving cancer treatment."
"The baby shows no pain when touched.","The baby cries sharply when touched."
"The baby has not vomited recently.","The baby vomited this morning."
"The baby does not have a fever.","The baby's temperature is 102°F."
"The baby is generally calm.","The baby is irritable most of the time."
"The baby has no diagnosed mood condition.","The baby has been diagnosed with a mood-related condition."
"The baby moves both arms and legs normally.","The baby cannot move one side of the body."
"The baby responds to sounds on both sides.","The baby does not respond to sounds on one side."
"The baby has normal vision.","The baby has severe vision impairment."
"The baby has never had seizures.","The baby has been diagnosed with seizures."
"The baby has normal kidney function.","The baby receives dialysis."
"The baby has never had a stroke.","The baby had a stroke after birth."
"The baby responds normally to touch.","The baby does not respond to touch on the hands."
"The baby has not fallen.","The baby fell yesterday."
"The baby moves joints without pain.","The baby cries when joints are moved."
"The baby is not bleeding.","The baby is actively bleeding."
"The baby has no heart condition.","The baby has a congenital heart condition."
"The baby has no swelling.","The baby's legs or face are swollen."
"The baby swallows milk normally.","The baby coughs or chokes while swallowing milk."
"The baby recognizes familiar caregivers.","The baby does not recognize familiar caregivers."
"The baby has normal bowel movements.","The baby has frequent loose stools today."
"The baby is not constipated.","The baby has not had a bowel movement in several days."
"The baby urinates normally.","The baby has very few wet diapers."
"The baby appears comfortable.","The baby appears to be in severe pain."
"The baby breathes comfortably.","The baby is struggling to breathe."
"The baby has no skin problems.","The baby has a spreading rash."
"The baby does not bruise easily.","The baby bruises with minimal contact."
"The baby has normal strength.","The baby has weakness on one side of the body."
"The baby has normal head size for age.","The baby's head size is abnormally large for age."
"The baby has a soft, flat fontanelle.","The baby's fontanelle is bulging."
"The baby has normal muscle reflexes.","The baby's muscle reflexes are absent."
"The baby has normal eye movements.","The baby's eyes move abnormally or are misaligned."
"The baby has no nasal congestion.","The baby has persistent nasal congestion."
"The baby has normal skin moisture.","The baby's skin is very dry and cracked."
"The baby has normal capillary refill.","The baby's capillary refill is delayed."
